                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 1.1789,                0.95035,                  1.386,                0.86484,                0.64559,                0.76026,                0.43656,                 1.4637,                 1.0556,                  1.658,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.1817,                0.95033,                 1.3912,                0.80988,                0.69104,                0.78008,                0.45704,                 1.4776,                 1.0137,                 1.6415,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.1551,                0.95361,                 1.3845,                0.78047,                 0.6884,                0.77806,                0.44218,                 1.4407,                 1.0027,                 1.6361,             0.00098211,             0.00098211,             0.00098211
                     86,                 1.1589,                0.93041,                 1.3882,                0.76767,                0.67907,                0.73989,                0.41701,                 1.4814,                 1.0541,                 1.6514,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.1653,                0.95677,                  1.393,                0.76693,                0.68537,                0.75354,                0.43256,                 1.4424,                 1.0463,                 1.6398,             0.00096561,             0.00096561,             0.00096561
                     88,                 1.1477,                0.91897,                 1.3693,                0.77823,                0.70522,                0.75972,                0.43428,                 1.4501,                 1.0263,                 1.6384,             0.00095736,             0.00095736,             0.00095736
                     89,                 1.1558,                0.95221,                 1.3774,                 0.8301,                0.64207,                0.75869,                0.45601,                 1.4441,                 1.0295,                 1.6472,             0.00094911,             0.00094911,             0.00094911
                     90,                 1.1688,                0.94228,                  1.392,                 0.7303,                0.65986,                0.73068,                0.43683,                 1.4346,                 1.0459,                 1.6411,             0.00094085,             0.00094085,             0.00094085
                     91,                 1.1561,                  0.937,                  1.384,                 0.7379,                0.68643,                0.74327,                0.43785,                 1.4751,                 1.0669,                 1.6612,              0.0009326,              0.0009326,              0.0009326
                     92,                 1.1507,                0.91588,                 1.3792,                0.73208,                0.71429,                0.77456,                0.45342,                 1.4548,                  1.005,                 1.6692,             0.00092435,             0.00092435,             0.00092435
