                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.0951,                0.80351,                  1.262,                0.82594,                0.73299,                0.81408,                0.47142,                 1.4455,                0.97831,                 1.5295,              0.0011224,              0.0011224,              0.0011224
                     69,                 1.0859,                0.78781,                 1.2634,                0.80377,                0.68153,                0.76842,                0.45015,                 1.4879,                 0.9552,                 1.5514,              0.0011141,              0.0011141,              0.0011141
                     70,                 1.1011,                0.79222,                 1.2615,                0.80674,                0.72109,                0.81381,                 0.4893,                 1.4454,                0.94968,                 1.5229,              0.0011059,              0.0011059,              0.0011059
                     71,                 1.0983,                  0.778,                 1.2565,                0.81681,                0.75567,                0.82661,                0.49101,                 1.4477,                 0.9051,                 1.5286,              0.0010976,              0.0010976,              0.0010976
                     72,                 1.0776,                0.76395,                 1.2448,                0.84165,                0.74093,                0.83165,                0.49498,                 1.4285,                0.89793,                 1.5125,              0.0010894,              0.0010894,              0.0010894
                     73,                 1.0571,                0.77375,                 1.2355,                0.83245,                0.73713,                0.81543,                0.50475,                  1.425,                 0.9689,                 1.5211,              0.0010811,              0.0010811,              0.0010811
                     74,                 1.0474,                0.75136,                  1.223,                0.77924,                0.72336,                0.78853,                0.46154,                 1.4872,                0.92243,                 1.5513,              0.0010729,              0.0010729,              0.0010729
                     75,                 1.0717,                0.75756,                 1.2434,                0.81341,                0.74345,                 0.8048,                0.47825,                 1.4578,                0.91394,                 1.5106,              0.0010646,              0.0010646,              0.0010646
                     76,                  1.037,                0.73466,                 1.2165,                0.81878,                0.73413,                0.79677,                0.48001,                 1.4414,                0.90406,                 1.5251,              0.0010564,              0.0010564,              0.0010564
                     77,                 1.0642,                0.76098,                 1.2292,                0.74901,                0.76966,                0.80183,                0.48656,                 1.4282,                0.89997,                 1.4916,              0.0010481,              0.0010481,              0.0010481
                     78,                 1.0634,                0.77507,                 1.2402,                0.86589,                0.67521,                0.79443,                0.48146,                 1.4495,                0.95128,                 1.5338,              0.0010399,              0.0010399,              0.0010399
                     79,                 1.0377,                 0.7286,                 1.2222,                0.89613,                0.71599,                0.82719,                 0.5089,                  1.415,                0.88408,                 1.5078,              0.0010316,              0.0010316,              0.0010316
                     80,                 1.0307,                0.75561,                 1.2194,                0.80365,                 0.7413,                0.81625,                0.48899,                 1.4923,                0.93137,                 1.5545,              0.0010234,              0.0010234,              0.0010234
                     81,                  1.036,                0.72926,                 1.2106,                0.84617,                0.72619,                 0.8198,                0.48963,                 1.4264,                0.87388,                 1.5099,              0.0010151,              0.0010151,              0.0010151
                     82,                 1.0166,                0.71522,                  1.201,                0.85692,                0.71372,                0.82025,                0.49606,                 1.4123,                 0.8798,                 1.4982,              0.0010069,              0.0010069,              0.0010069
                     83,                 1.0151,                0.71467,                 1.1958,                0.86417,                0.75986,                0.82538,                0.51137,                 1.4397,                 0.8626,                 1.5152,             0.00099862,             0.00099862,             0.00099862
                     84,                 1.0213,                0.71003,                 1.1962,                0.88607,                0.71769,                 0.8332,                0.50808,                 1.4152,                0.89304,                 1.5006,             0.00099036,             0.00099036,             0.00099036
                     85,                 1.0004,                0.70998,                 1.1961,                0.82491,                0.76142,                0.82756,                0.50849,                 1.4376,                0.91125,                 1.5158,             0.00098211,             0.00098211,             0.00098211
                     86,                0.99906,                0.69583,                 1.1964,                0.80322,                0.76673,                0.81621,                0.50784,                 1.4217,                0.90284,                 1.4978,             0.00097386,             0.00097386,             0.00097386
                     87,                 1.0033,                0.70725,                 1.1998,                0.76957,                0.79468,                0.81991,                 0.5034,                 1.3919,                0.86361,                 1.4956,             0.00096561,             0.00096561,             0.00096561
                     88,                 0.9976,                 0.6916,                 1.1887,                0.81974,                0.76474,                0.82348,                0.49728,                  1.448,                0.89601,                  1.523,             0.00095736,             0.00095736,             0.00095736
